,preposition,is_atomic,is_spatial,class,transitivity,synonyms,antonyms,hypernym,hyponym,meronym,holonym,supersense
53,less,FALSE,FALSE,,,to a lesser extent,more,,,,,
82,like,FALSE,FALSE,,,"alike, care, comparable, corresponding, ilk, same, similar, the like, the likes of, wish","dislike,  unlike,  unalike","consider, desire, form, kind, reckon, regard, see, sort, variety, view, want","care for, cotton, enjoy, love, please, prefer",,,
,middle,TRUE,TRUE,,,,,,,,,
78,minus,FALSE,FALSE,,,"negative, subtraction",plus,arithmetic operation,,,,
117,near,TRUE,TRUE,BOUNDED,,"about, almost, approach, approximate, cheeseparing, close, come near, come on, dear, draw close, draw near, go up, good, most, nearly, nigh, penny-pinching, skinny, virtually, well-nigh",far,"come, come up","bear down on, bear down upon, close, crowd, drive up, edge in, edge up, push",,,
47,near to,FALSE,TRUE,,,,,,,,,
24,nearer,FALSE,TRUE,,,"approximate, cheeseparing, close, closer, dear, good, near, nigh, nigher, penny-pinching, skinny",far,,,,,
58,nearest,FALSE,TRUE,,,"approximate, cheeseparing, close, closest, dear, good, near, nigh, nighest, penny-pinching, skinny",far,,,,,
69,next to,FALSE,TRUE,BOUNDED,,,,,,,,
,nigh,TRUE,TRUE,,,,,,,,,
115,notwithstanding,FALSE,FALSE,,,"all the same, even so, however, nevertheless, nonetheless, still, withal, yet",,,,,,
111,of,TRUE,TRUE,,,,,,,,,
18,off,TRUE,TRUE,PARTICLE,,"away, bump off, cancelled, dispatch, forth, hit, murder, polish off, remove, slay, sour, turned",on,kill,"burke, execute",,,LOCUS
64,on,TRUE,TRUE,PARTICLE,,along,off,,,,,
118,on account of,FALSE,FALSE,,,,,,,,,
8,on behalf of,FALSE,FALSE,,,,,,,,,
120,on top of,FALSE,TRUE,,,,,,,,,
71,onto,FALSE,TRUE,,,,,,,,,
126,opposite,TRUE,TRUE,,,"antonym, contrary, diametric, diametrical, face-to-face, inverse, opponent, opposite word, opposition, paired, polar, reverse","synonym,  alternate","contestant, oppositeness, opposition, word","additive inverse, direct antonym, indirect antonym, multiplicative inverse, reciprocal",,,
1,opposite of,FALSE,TRUE,,,,,,,,,
123,opposite to,FALSE,TRUE,,,,,,,,,
98,out,TRUE,TRUE,,,"KO'd, away, come out, come out of the closet, extinct, forbidden, kayoed, knocked out, prohibited, proscribed, stunned, taboo, tabu, verboten",safe,"break, bring out, disclose, discover, divulge, expose, failure, give away, let on, let out, reveal, unwrap","putout, strikeout",,,
106,out from,FALSE,TRUE,,,,,,,,,
85,out of,FALSE,TRUE,,,,,,,,,
77,outside,FALSE,TRUE,PROJECTIVE,,"alfresco, away, exterior, external, extraneous, international, out-of-door, out of doors, outdoor, outdoors, remote","indoors,  indoor,  inside","part, region, surface","open, open air, out-of-doors, outdoors",,,
39,outside of,FALSE,TRUE,,,,,,,,,
67,over,TRUE,TRUE,EXTENDED,,"all over, complete, concluded, ended, o'er, terminated",,"division, part, section","maiden, maiden over",,"period of play, play, playing period",
62,owing to,FALSE,FALSE,,,,,,,,,CAUSE
5,past,TRUE,TRUE,EXTENDED,,"by, past tense, past times, preceding, retiring, yesteryear","present,  future","period, period of time, tense, time, time period","auld langsyne, bygone, good old days, history, langsyne, old, old times, preterit, preterite, time immemorial, time out of mind, water under the bridge, yesterday, yore",,life,
19,per,TRUE,FALSE,,,,,,,,,CONFIGURATION
72,plus,TRUE,TRUE,,,"addition, asset, positive, summation","minus ,  liability","arithmetic operation, quality","advantage, forte, long suit, metier, resource, speciality, specialty, strength, strong point, strong suit, vantage",,,
,prior,TRUE,TRUE,,,,,,,,,
104,prior to,FALSE,TRUE,,,,,,,,,
73,pursuant to,FALSE,FALSE,,,,,,,,,
6,rather than,FALSE,FALSE,,,instead of,,,,,,
,rear,TRUE,TRUE,,,,,,,,,
49,regardless of,FALSE,FALSE,,,in spite of,,,,,,
,right,TRUE,TRUE,PARTICLE,,,,,,,,
92,right of,FALSE,TRUE,,,,,,,,,
,rim,TRUE,TRUE,,,,,,,,,
90,save,TRUE,FALSE,,,"bring through, carry through, deliver, economise, economize, hold open, keep, keep open, lay aside, make unnecessary, preserve, pull through, redeem, relieve, salvage, salve, save up, spare, write",,"bar, book, deliver, drop, expend, forbear, forbid, foreclose, forestall, hold, hold on, keep, preclude, prevent, prevention, record, refrain, rescue, reserve, spend, tape","cache, conserve, deliver, economise, economize, enter, favor, favour, hive up, hoard, husband, lay away, overwrite, put down, record, rescue, scrimp, skimp, squirrel away, stash, stint, tighten one's belt",,,
,side,TRUE,TRUE,,,,,,,,,
100,since,TRUE,FALSE,,,,,,,,,TIME
,skin,TRUE,TRUE,,,,,,,,,
,subsequent,TRUE,TRUE,,,,,,,,,
54,subsequent to,FALSE,TRUE,,,,,,,,,
119,such as,FALSE,FALSE,,,,,,,,,PARTPORTION
,surface,TRUE,TRUE,,,,,,,,,
65,thanks to,FALSE,FALSE,,,,,,,,,
101,through,TRUE,TRUE,EXTENDED,,"done, through and through, through with",,,,,,
32,throughout,TRUE,TRUE,,,"end-to-end, passim",,,,,,
7,to,TRUE,TRUE,,,,,,,,,
,to a higher place,FALSE,TRUE,,,,,,,,,
,to behind,FALSE,TRUE,,,,,,,,,
,to under,FALSE,TRUE,,,,,,,,,
,top,TRUE,TRUE,,,,,,,,,
128,toward,TRUE,TRUE,,,,,,,,,
105,towards,TRUE,TRUE,,,,,,,,,
,tween,TRUE,TRUE,,,,,,,,,
83,under,TRUE,TRUE,EXTENDED,,"below, nether",,,,,,
2,underneath,FALSE,TRUE,,,,,,,,,
,underside,TRUE,TRUE,,,,,,,,,
25,until,TRUE,FALSE,,,,,,,,,TIME
34,up,TRUE,TRUE,PARTICLE,,"astir, improving, upward, upwardly, upwards","downwards ,  downward ,  downwardly ,  down",increase,,,,
44,up to,FALSE,TRUE,,,,,,,,,
52,upon,TRUE,TRUE,BOUNDED,,,,,,,,
17,upside,FALSE,TRUE,,,"top, top side, upper side",,"face, side","crest, crown, desktop, pate, poll, rooftop, tiptop",,,
22,versus,TRUE,FALSE,,,,,,,,,
11,via,TRUE,TRUE,,,,,,,,,
12,with,TRUE,FALSE,,,,,,,,,
,with,TRUE,TRUE,,,,,,,,,
60,with a view to,FALSE,FALSE,,,,,,,,,
127,with regard to,FALSE,FALSE,,,,,,,,,
36,with respect to,FALSE,FALSE,,,,,,,,,
135,within,TRUE,TRUE,,,inside,outside,,,,,
9,without,TRUE,TRUE,,,,,,,,,
86,worth,FALSE,FALSE,,,"Charles Frederick Worth, Worth, deserving",worthlessness,"indefinite quantity, quality","demerit, fault, ha'p'orth, halfpennyworth, merit, penn'orth, pennyworth, praisworthiness, price, value, virtue, worthwhileness",,,
,next,TRUE,TRUE,,,,,,,,,
,away,TRUE,TRUE,PARTICLE,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
